cui,nombre_proyecto,sector_code
2001621,ESTUDIOS DE PRE-INVERSIÓN 	,CULTURE
2021464,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO TEMPLO DE SANTO TOMAS,CULTURE
2029124,RESTAURACIÓN Y PUESTA EN VALOR MONUMENTO HISTÓRICO ARTÍSTICO TEMPLO SAN JUAN BAUTISTA DE COPORAQUE,CULTURE
2031715,MUSEO NACIONAL CHAVÍN,CULTURE
2044573,ADECUACION E IMPLEMENTACION DEL MUSEO DE QESPIWANKA - URUBAMBA,CULTURE
2044997,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO TEMPLO SAN PEDRO DE CACHA - CANCHIS,CULTURE
2046823,"ACONDICIONAMIENTO CONSERVACION Y PROTECCION DEL COMPLEJO ARQUEOLOGICO  HUACA LA PAVA 1 Y 2 ¿ MOCHUMI., PROVINCIA DE LAMBAYEQUE - LAMBAYEQUE",CULTURE
2046825,"ACONDICIONAMIENTO CONSERVACION Y PROTECCION DEL COMPLEJO ARQUEOLOGICO HUACA SOLECAPE - MOCHUMI, PROVINCIA DE LAMBAYEQUE - LAMBAYEQUE",CULTURE
2051487,"FORTALECIMIENTO CONSERVACION  Y PUESTA EN VALOR  DEL COMPLEJO ARQUEOLOGICO HUACA BANDERA ¿ PACORA., PROVINCIA DE LAMBAYEQUE - LAMBAYEQUE",CULTURE
2054532,"PUESTA EN VALOR EL COMPLEJO ARQUEOLOGICO CHOTUNA - CHORNANCAP - LAMBAYEQUE CHOTUNA, PROVINCIA DE LAMBAYEQUE - LAMBAYEQUE",CULTURE
2055050,FORTALECIMIENTO DE LA INVESTIGACION ARQUEOLOGICA DE VENTARRON DEL DISTRITO DE ZAÑA-CHICLAYO-LAMBAYEQUE,CULTURE
2059746,RESTAURACION Y PUESTA EN VALOR DEL MONUMENTO HISTORICO ARTISTICO IGLESIA NUESTRA SEÑORA DE COCHARCAS,CULTURE
2064021,REMODELACIÓN Y MODERNIZACIÓN DEL MUSEO DE SITIO DE CHINCHERO,CULTURE
