id,code,name,transparency_name,pdf_filename,is_active,created_at,updated_at
1,CULTURE,Cultura,03: CULTURA,6_FORMATO_CULTURA.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
2,ENVIRONMENT,Ambiental,05: AMBIENTAL,2_FORMATO_MINAM.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
3,INTERIOR,Interior,07: INTERIOR,14_FORMATO_INTERIOR.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
4,EDUCATION,Educación,10: EDUCACION,11_FORMATO_MINEDU.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
5,HEALTH,Salud,11: SALUD,25_FORMATO_SALUD.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
6,AGRICULTURE_AND_IRRIGATION,Agrario y de Riego,13: AGRARIO Y DE RIEGO,1_FORMATO_MIDAGRI.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
7,TRANSPORT_AND_COMMUNICATIONS,Transportes y Comunicaciones,36: TRANSPORTES Y COMUNICACIONES,27_FORMATO_TRANSPORTE.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
9,PRODUCTION,Producción,38: PRODUCCION,22_FORMATO_PRODUCCION.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
10,WOMEN_AND_VULNERABLE_POPULATIONS,Mujer y Poblaciones Vulnerables,39: MUJER Y POBLACIONES VULNERABLES,18_FORMATO_MMUJER.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
8,HOUSING_CONSTRUCTION_AND_SANITATION,Vivienda Construcción y Saneamiento,37: VIVIENDA CONSTRUCCION Y SANEAMIENTO,29_FORMATO_MVCS.pdf,true,2026-05-13 07:16:23.452223+00,2026-05-13 07:16:23.452223+00
